time,promoter_35S,promoter_19S,gene_P5,gene_P4,gene_P6,gene_P1,untracked_large,gene_P3,gene_P2
10640.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10641.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10642.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10643.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10644.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10645.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10646.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10647.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10648.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10649.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10650.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10651.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10652.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10653.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10654.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10655.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10656.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10657.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10658.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10659.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10660.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10661.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10662.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10663.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10664.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10665.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10666.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10667.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10668.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10669.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10670.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10671.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10672.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10673.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10674.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10675.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10676.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10677.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10678.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10679.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10680.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10681.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10682.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10683.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10684.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10685.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10686.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10687.0,1000,1000,1000,1000,307,1000,1000,1000,1000
10688.0,1000,1000,1000,1000,307,1000,1000,1000,1000
